Name,url
Emil Jannings,/wiki/Emil_Jannings
Warner Baxter,/wiki/Warner_Baxter
George Arliss,/wiki/George_Arliss
Lionel Barrymore,/wiki/Lionel_Barrymore
Wallace Beery,/wiki/Wallace_Beery
Charles Laughton,/wiki/Charles_Laughton
Clark Gable,/wiki/Clark_Gable
Victor McLaglen,/wiki/Victor_McLaglen
Paul Muni,/wiki/Paul_Muni
Spencer Tracy,/wiki/Spencer_Tracy
Spencer Tracy,/wiki/Spencer_Tracy
Robert Donat,/wiki/Robert_Donat
James Stewart,/wiki/James_Stewart
Gary Cooper,/wiki/Gary_Cooper
James Cagney,/wiki/James_Cagney
Paul Lukas,/wiki/Paul_Lukas
Bing Crosby,/wiki/Bing_Crosby
Ray Milland,/wiki/Ray_Milland
Fredric March,/wiki/Fredric_March
Ronald Colman,/wiki/Ronald_Colman
Laurence Olivier,/wiki/Laurence_Olivier
Broderick Crawford,/wiki/Broderick_Crawford
José Ferrer,/wiki/Jos%C3%A9_Ferrer
Humphrey Bogart,/wiki/Humphrey_Bogart
Gary Cooper,/wiki/Gary_Cooper
William Holden,/wiki/William_Holden
Marlon Brando,/wiki/Marlon_Brando
Ernest Borgnine,/wiki/Ernest_Borgnine
Yul Brynner,/wiki/Yul_Brynner
Alec Guinness,/wiki/Alec_Guinness
David Niven,/wiki/David_Niven
Charlton Heston,/wiki/Charlton_Heston
Burt Lancaster,/wiki/Burt_Lancaster
Maximilian Schell,/wiki/Maximilian_Schell
Gregory Peck,/wiki/Gregory_Peck
Sidney Poitier,/wiki/Sidney_Poitier
Rex Harrison,/wiki/Rex_Harrison
Lee Marvin,/wiki/Lee_Marvin
Paul Scofield,/wiki/Paul_Scofield
Rod Steiger,/wiki/Rod_Steiger
Cliff Robertson,/wiki/Cliff_Robertson
John Wayne,/wiki/John_Wayne
George C. Scott,/wiki/George_C._Scott
Gene Hackman,/wiki/Gene_Hackman
Marlon Brando,/wiki/Marlon_Brando
Jack Lemmon,/wiki/Jack_Lemmon
Art Carney,/wiki/Art_Carney
Jack Nicholson,/wiki/Jack_Nicholson
Peter Finch,/wiki/Peter_Finch
Richard Dreyfuss,/wiki/Richard_Dreyfuss
Jon Voight,/wiki/Jon_Voight
Dustin Hoffman,/wiki/Dustin_Hoffman
Robert De Niro,/wiki/Robert_De_Niro
Henry Fonda,/wiki/Henry_Fonda
Ben Kingsley,/wiki/Ben_Kingsley
Robert Duvall,/wiki/Robert_Duvall
F. Murray Abraham,/wiki/F._Murray_Abraham
William Hurt,/wiki/William_Hurt
Paul Newman,/wiki/Paul_Newman
Michael Douglas,/wiki/Michael_Douglas
Dustin Hoffman,/wiki/Dustin_Hoffman
Daniel Day-Lewis,/wiki/Daniel_Day-Lewis
Jeremy Irons,/wiki/Jeremy_Irons
Anthony Hopkins,/wiki/Anthony_Hopkins
Al Pacino,/wiki/Al_Pacino
Tom Hanks,/wiki/Tom_Hanks
Tom Hanks,/wiki/Tom_Hanks
Nicolas Cage,/wiki/Nicolas_Cage
Geoffrey Rush,/wiki/Geoffrey_Rush
Jack Nicholson,/wiki/Jack_Nicholson
Roberto Benigni,/wiki/Roberto_Benigni
Kevin Spacey,/wiki/Kevin_Spacey
Russell Crowe,/wiki/Russell_Crowe
Denzel Washington,/wiki/Denzel_Washington
Adrien Brody,/wiki/Adrien_Brody
Sean Penn,/wiki/Sean_Penn
Jamie Foxx,/wiki/Jamie_Foxx
Philip Seymour Hoffman,/wiki/Philip_Seymour_Hoffman
Forest Whitaker,/wiki/Forest_Whitaker
Daniel Day-Lewis,/wiki/Daniel_Day-Lewis
Sean Penn,/wiki/Sean_Penn
Jeff Bridges,/wiki/Jeff_Bridges
Colin Firth,/wiki/Colin_Firth
Jean Dujardin,/wiki/Jean_Dujardin
Daniel Day-Lewis,/wiki/Daniel_Day-Lewis
Matthew McConaughey,/wiki/Matthew_McConaughey
Eddie Redmayne,/wiki/Eddie_Redmayne
Leonardo DiCaprio,/wiki/Leonardo_DiCaprio
Casey Affleck,/wiki/Casey_Affleck
